"Index","artist","album","title","duration","playcount","rating","rating_interpretation"
"47","Fozzy","Judas","Judas","4:09","12.0","5","thumbs-up"
"488","American Hi-Fi","American Hi-Fi","Flavor Of The Weak","3:08","2.0","5","thumbs-up"
"497","HIM","Love Metal","Funeral Of Hearts","4:31","5.0","5","thumbs-up"
"550","Men At Work","The Best Of Men At Work: Contraband","It's a Mistake","4:31","2.0","4",""
"726","Limp Bizkit","Greatest Hitz","Faith (Explicit)","2:26","6.0","5","thumbs-up"
"799","Iron Maiden","The Number Of The Beast","The Number Of The Beast","4:52","5.0","5","thumbs-up"
"815","The Dickies","The Incredible Shrinking Dickies (Expanded Version)","Banana Splits","1:56","8.0","5","thumbs-up"
"855","Stevie Boy","ICW","War Boy","2:36","16.0","5","thumbs-up"
"914","System of a Down","Toxicity","Toxicity","3:40","16.0","5","thumbs-up"
"923","AFI","Burials","I Hope You Suffer","4:37","47.0","5","thumbs-up"
"934","Muse","Origin Of Symmetry","Space Dementia","6:20","6.0","5","thumbs-up"
"1080","Jack Off Jill","Clear Hearts Grey Flowers","Lovesong","3:35","11.0","5","thumbs-up"
"1145","The Distillers","Coral Fang (PA Version)","Beat Your Heart Out","2:48","49.0","5","thumbs-up"
"1147","The Distillers","Coral Fang (PA Version)","Drain The Blood","3:08","49.0","5","thumbs-up"
"1154","Bring Me The Horizon","Sempiternal","Can You Feel My Heart","3:49","27.0","4",""
"1173","The Used & My Chemical Romance","In Love And Death","Under Pressure","3:32","31.0","4",""
"1208","Bring Me The Horizon","Sempiternal (Deluxe)","Hospital for Souls","6:46","29.0","4",""
"1229","St. Vincent","St. Vincent","Birth In Reverse","3:16","41.0","5","thumbs-up"
"1242","Violent Femmes","Permanent Record: The Very Best of Violent Femmes","Add It Up","4:45","25.0","5","thumbs-up"
"1320","Slipknot","Antennas To Hell","Before I Forget","4:23","8.0","4",""
"1362","Limp Bizkit","Significant Other","Break Stuff","2:47","20.0","4",""
"1426","Nine Inch Nails","Definitive NIN - The Singles","Closer","6:14","14","4",""
"1428","Jonathan Coulton","Thing a Week Three","Code Monkey","3:10","16.0","4",""
"1430","Foreigner","100 Hits: Rock (Disc 1)","Cold As Ice","3:18","33.0","5","thumbs-up"
"1455","Ozzy Osbourne","Greatest Hits","Crazy Train","4:50","22.0","5","thumbs-up"
"1466","Living Colour","WWE","Cult Of Personality [WWE Edit]","4:33","89.0","5","thumbs-up"
"1501","The Prodigy","Greatest Hits","Diesel Power","4:18","12.0","4",""
"1533","Slipknot","Antennas To Hell","Duality","4:46","22.0","5","thumbs-up"
"1553","The Four Horsemen","wCw","Entrance","2:20","18.0","4",""
"1586","Emilie Autumn","Fight Like A Girl [Single]","Fight Like A Girl","5:26","27.0","4",""
"1588","Europe","The Final Countdown","The Final Countdown","5:11","22.0","5","thumbs-up"
"1615","DJ Jazzy Jeff & The Fresh Prince","Will Smith: Greatest Hits","The Fresh Prince Of Bel Air","2:56","15.0","4",""
"1648","Bowling For Soup","100 Hits: Indie [Disc 2]","Girl All The Bad Guys Want","3:18","14.0","4",""
