artist,album,title,duration,playcount,rating,rating_interpretation
"Descendents","Everything Sucks","I'm The One","2:15","1","5","thumbs-up"
"Descendents","Cool to Be You","'Merican","1:51","1","5","thumbs-up"
"Tame Impala","Currents","The Less I Know The Better","3:36","1","5","thumbs-up"
"King Diamond","Them","The Invisible Guests","5:04","1","5","thumbs-up"
"King Diamond","Them","Welcome Home","4:36","3","5","thumbs-up"
"black midi","Schlagenheim","Reggae","3:29","1","5","thumbs-up"
"Torche","Slide","Slide","2:52","1","5","thumbs-up"
"Torche","Admission","Admission","4:00","1","5","thumbs-up"
"Bleached","Hard to Kill","Shitty Ballet","3:43","2","5","thumbs-up"
"Bleached","Hard to Kill","Hard to Kill","3:26","1","5","thumbs-up"
"Slowdive","Slowdive","Everyone Knows","4:22","1","5","thumbs-up"
"Slowdive","Slowdive","Sugar for the Pill","4:30","1","5","thumbs-up"
"The Soft Cavalry","Dive","Dive","4:15","1","5","thumbs-up"
"Kate Bush","The Kick Inside (2018 Remaster)","Wuthering Heights (2018 Remaster)","4:28","2","5","thumbs-up"
"Death Cab for Cutie","Plans","I Will Follow You into the Dark","3:09","1","5","thumbs-up"
"Death Cab for Cutie","Transatlanticism","Title And Registration","3:39","1","5","thumbs-up"
"Lizzo","Cuz I Love You (Deluxe)","Boys","2:52","1","5","thumbs-up"
"KISS","Crazy Nights","Crazy Crazy Nights","3:48","2","5","thumbs-up"
"Against Me!","New Wave (U.S. Version)","Thrash Unreal","4:14","2","5","thumbs-up"
"Peach Club","Not Ur Girl","Not Ur Girl","3:11","1","5","thumbs-up"
"Atari Teenage Riot","The Future of War (Remastered)","Destroy 2000 Years of Culture","3:51","","5","thumbs-up"
"Atari Teenage Riot","Rage (ATR)","Rage (ATR Radio Edit)","3:56","1","5","thumbs-up"
"Atari Teenage Riot","Burn Berlin, Burn","Atari Teenage Riot","3:35","1","5","thumbs-up"
"Bad Brains","Bad Brains","Sailin' On","1:55","1","5","thumbs-up"
"Bad Brains","Bad Brains","F.V.K. (Fearless Vampire Killers)","1:07","1","5","thumbs-up"
"Bad Brains","I Against I","I Against I","2:50","1","5","thumbs-up"
"Bad Brains","Bad Brains","Banned in D.C.","2:12","3","5","thumbs-up"
"Bad Brains","I Against I","Re-Ignition","4:16","1","5","thumbs-up"
"Linkin Park","Meteora","Breaking the Habit","3:16","4","5","thumbs-up"
"Velvet Revolver","Contraband (Parental Advisory)","Slither","4:08","2","5","thumbs-up"
"The Darkness","Permission To Land","Growing on Me","3:28","2","5","thumbs-up"
"Hatebreed","Perseverance","I Will Be Heard","2:58","22","5","thumbs-up"
"Slipknot","Slipknot","Wait and Bleed","2:27","3","5","thumbs-up"
"Killswitch Engage","As Daylight Dies","My Curse","4:04","1","5","thumbs-up"
"Wind Rose","Diggy Diggy Hole","Diggy Diggy Hole","5:16","1","5","thumbs-up"
"Knife Party","100% No Modern Talking","Internet Friends","5:01","1","5","thumbs-up"
"Mobina Galore","Feeling Disconected","Vancouver","3:27","","5","thumbs-up"
"Mobina Galore","Cities Away","2002","2:50","1","5","thumbs-up"
"The Regrettes","I Dare You","I Dare You","2:50","1","5","thumbs-up"
