artist|title|spotid
Bowling For Soup | 1985 | 4UuHWIkAWnN176A2rx7YFB
Mobina Galore | 2002 | 6B7ZxuSPpiD2bmAlJDwEQ6
Torche | Admission | 4fXOAHhgPrR7haSZWJZHsQ
Smash Mouth | All Star | 3cfOd4CMv2snFaKAnMdnvK
Heart | Alone | 54b8qPFqYqIndfdxiLApea
Atari Teenage Riot | Atari Teenage Riot | 4fju5ew9DWKwaMryEVpXMa
Taylor Swift | Bad Blood | 0TvQLMecTE8utzoNmvXRbK
Bad Brains | Banned in D.C. | 0YnP5BtP6lTwQV8gLOzaov
VUKOVI | Behave | 5Cuwi717KvYiHgLpuQSD9U
The Dandy Warhols | Bohemian Like You | 0yEhNqCwEfy8LHUmnZoHpP
Crumb | Bones | 4rL1OrbBCOD5hDgXWPCqW3
Lizzo | Boys | 1ITsmuChPVC05ogvorAyVu
Linkin Park | Breaking the Habit | 6n8TMVyFKoUmDc4apxceRD
Deftones | Change (In the House of Flies) - In The House Of Flies LP Version | 51c94ac31swyDQj9B3Lzs3
2Pac, Talent | Changes | 00i2HU7TEzzftShjRrDSEF
Bratmobile | Come Hither | 2Sbs22Hx6nmEmKqck1md5w
KISS | Crazy Crazy Nights | 3YSfGJNDtF8KrHlwCAaVns
Wind Rose | Diggy Diggy Hole | 4cCTHaoV5YX5AHFC5qnlZ0
The Soft Cavalry | Dive | 5TvkWUGywzfVF5HQ9uySVF
Eddie & The Hot Rods | Do Anything You Wanna Do | 3Ro1J1lgQnTDb8HfCHiMGd
The Regrettes | Dress Up | 0BxilVc5yqicCnHo3JmkkS
White Zombie | Electric Head, Part 2 (The Ecstasy) | 4O4yVascM6nGzm2BgJK4L3
Slowdive | Everyone Knows | 5gCMldzBtCPajx3JNLtVB6
Crumb | Fall Down | 6IqcbrxCPlbXaQuNoQMB8v
Sleater-Kinney | Fangless | 50Uc1CXPd68F4QpZescwXo
Battle Tapes | Feel the Same | 6lC1fMDRhWMzxZ9FSav6ky
American Hi-Fi | Flavor Of The Weak | 1UkMAtLU8NxsddE7j4zXGO
Bad Brains | F.V.K. (Fearless Vampire Killers) | 2Jkk7UunDLmtxSeHTgar4Z
Crumb | Ghostride | 476QHG5G8xxNI9VHTBFfjp
Portishead | Glory Box | 3Ty7OTBNSigGEpeW2PqcsC
The Darkness | Growing on Me | 77asYwewm0lXvz76inosJm
Blondie | Hanging On The Telephone - Remastered | 343iSx7QQ41UeroboMrhmh
Bleached | Hard to Kill | 7bU1WWo32oscVeFfZBzbCu
Weezer | Hash Pipe | 3GcVQCRSaPNupmf65YKyQI
Sleater-Kinney | Hurry On Home | 03AlPQquCByxvqkh7iXbNN
Bad Brains | I Against I | 2Q1eMd5WFmOOI90cytHAtT
Lee "Scratch" Perry | I Am a Madman | 6aiEz7VcFWKbmpL0Q8nxYC
The Regrettes | I Dare You | 5ZUafcm9KEwuCR4V7rfYJH
Dr. Feelgood | I Don't Mind - 2006 Remaster | 6NXJ3CNljwWRaRvCDHDH88
Sleeping With Sirens | If I'm James Dean, You're Audrey Hepburn | 1wFRkVclQWfMQQcaVLjmBE
blink-182 | I Miss You | 1AdYZ6X00nXmO613Y7GJOl
Descendents | I'm The One | 5XXiK8GZjjmCHpBpUEm9z5
Ghost | Infestissumam | 7BwScOUaIcnABifoNlK9e9
Knife Party | Internet Friends | 5qFL2uwfnGU8FccwLMgPNQ
Hatebreed | I Will Be Heard | 4Lxn1JlGJwmmXpODrNvPA6
Death Cab for Cutie | I Will Follow You Into The Dark | 2ndWbjiiNBEOrlfToKlABE
Bikini Kill | Jigsaw Youth | 5ygl8ChhscMowpkQg8UDfH
Fozzy | Judas | 2QQDH8gt4nyxFu2XX6bhG8
Minus the Bear | Knights | 3EeQATZIh9wwT0LPAYUq1o
Eve, Gwen Stefani | Let Me Blow Ya Mind | 4YA5g2UpNLmdql8fdrhlwY
Jake Bugg | Lightning Bolt | 79DO6dBi8936P6EShLB209
Crumb | Locket | 0bxcUgWlOURkU6lZt4zog0
Bad Religion | Los Angeles Is Burning | 0biGKHOtNVGM14sRSztyKq
Jme, Giggs | Man Don't Care | 04tGB3iBg3EFjmHt7XmOoO
IDLES | Mercedes Marxist | 43QRuzdZ8Rvs77VjRL4n6i
Descendents | 'Merican | 2BY2O9OybmxpND0DqNgx97
White Zombie | More Human Than Human | 6JgxvNYi44NFHCtQmZncTv
Killswitch Engage | My Curse | 5fodi5z7BngUgku13WtF81
Bikini Kill | No Backrub | 2YFB9AcEwRzTqBQeCjvZJg
Peach Club | Not Ur Girl | 5nnxtxxGySrMWYdkiXViWF
Ashley O | On A Roll | 56JyMaElW79S7TDWh1Zw1m
New York Dolls | Personality Crisis | 4AwKXevZmsTNa3KZVj3rzl
Sløtface | Pitted | 1qreBJhaKFAZCkZi8LZSS1
Sevendust | Praise | 3fXY1GLVF8QmzbTfNTTaFr
Elvis Costello & The Attractions | Pump It Up | 0JgMHia55MBfhfqZIRi3kF
Atari Teenage Riot | Rage - ATR Radio Edit | 4P6ByTNMRoPQlCGEGun3Iz
White Zombie | Ratfinks, Suicide Tanks And Cannibal Girls | 2UrR1exmG9S7U3IYb69Nyg
black midi | Reggae | 0QaGXd04FSKgGxk2iTuUtB
Bad Brains | Re-Ignition | 5flccuB88UqMqTO6XVXiv8
IDLES | Rottweiler | 36u4Ia6abDyzcz2BBuYlVd
Bad Brains | Sailin' On | 4P8n1pWj2xQnaBjy1rvZ3o
Ultravox | Saturday Night In The City Of The Dead | 1BTj6f7eJ4QVFXKkC23xuw
Bleached | Shitty Ballet | 3kvkiCcZ6QG0eBiB4tRG3a
Miike Snow, Filthy | Silvia - Robotberget Remix | 0fFHjnqpSpV8XuWyCKf6XU
Torche | Slide | 77MpDvA36nKeYNEIYFhi40
Velvet Revolver | Slither | 7kF1iPJTj3VFJX9XokQ80F
Miley Cyrus | Something About Space Dude | 3Xbx8phzhk7LiOneArQmGk
Slowdive | Sugar for the Pill | 0GN3fXUdsTHeUg50xfDS0V
Seasick Steve | Summertime Boy | 0U3DlXTW1xDgdVMfYaFYGt
Wheatus | Teenage Dirtbag | 25FTMokYEbEWHEdss5JLZS
Marilyn Manson | The Dope Show | 1KQxH1Z1BiSo3MMukVpRfl
King Diamond | The Invisible Guests | 4OZhfoYKPQzJOMTr7YngWK
Bad Religion | The Kids Are Alt-Right | 2jaarBZJE7yviC71Gkggif
Tame Impala | The Less I Know The Better | 6K4t31amVTZDgR3sKmwUJJ
Miley Cyrus | The Most | 1U4W2b7SdGXjNuJ7K591Re
Red Hot Chili Peppers | The Power of Equality | 0eX5QY6o5cb9W72zVmWWjV
Against Me! | Thrash Unreal | 3c3XnCPwxGhQEHFxxjQcWe
Miley Cyrus, Ariel Pink | Tiger Dreams (feat. Ariel Pink) | 0YrsTLjPflDBxr4LAKLJyf
Death Cab for Cutie | Title And Registration | 6LTQAaWl0Nrnt45ln6iKf3
Mobina Galore | Vancouver | 43dxkYD3e1fM5z2CF2tmyY
Slipknot | Wait and Bleed | 2gscB6kDOmrv1P6qs2KXE3
King Diamond | Welcome Home | 1dxHeDGoVeEWQU5S2dG5PW
Powerman 5000 | When Worlds Collide | 6aF5JtQSrh7wNrkDE9B0My
Eve | Who's That Girl? | 5hALSggfcyvBNLUHY8pvZd
Kate Bush | Wuthering Heights - 2018 Remaster | 4hRdaL1ZSGvPJNQezb0ejL
