"Index","artist","album","title","duration","playcount","rating","rating_interpretation"
"20","Atari Teenage Riot","The Future of War (Remastered)","Destroy 2000 Years of Culture","3:51","","5","thumbs-up"
"216","Low IQ 01","NJPW","Takeover (Katsuyori Shibata theme)","2:34","2.0","5","thumbs-up"
"254","7 Seconds","Walk Together, Rock Together","We're Gonna Fight","3:24","5.0","5","thumbs-up"
"444","Akira Yamaoka","Silent Hill Sounds Box","Waiting For You ～ Live At ""Heaven's Night"" ～","6:20","7.0","5","thumbs-up"
"483","Spinnerette","Spinnerette","Baptized By Fire","4:35","3.0","5","thumbs-up"
"571","Ayumi Nakamura","NJPW","Kaze Ni Nare","4:52","17.0","5","thumbs-up"
"572","Tough Tits","Hang In There: A DIY Covers Compilation","Deceptacon (Le Tigre)","2:58","5.0","5","thumbs-up"
"573","Wolf Girl","Hang In There: A DIY Covers Compilation","I'm Not Okay (My Chemical Romance)","2:35","2.0","5","thumbs-up"
"615","pre)Thing","22nd Century Lifestyle: Episode//Rustandthesuperheroes Sexdrugsandsoutherncityrock","Can't Stop (22nd Century Lifestyle)","5:00","7.0","5","thumbs-up"
"654","Fear, and Loathing in Las Vegas","Dragon Gate - OPEN THE MUSIC GATE 2012","Evolution ~Entering the new world~ [PAC Theme]","2:50","7.0","5","thumbs-up"
"662","The Zeros","Don't Push Me Around","Don't Push Me Around","2:25","6.0","5","thumbs-up"
"671","AFI","Short Music for Short People","Hears Frozen Soil Thawed Once More By The Spring of Rage, Despair, and Hopelessness","0:32","6.0","5","thumbs-up"
"672","Nicky Flowers","Wii Shop Channel (Remix)","Wii Shop Channel (Remix)","2:47","11.0","5","thumbs-up"
"674","DREAM NAILS","DIY","Nt Abt U","2:17","15.0","5","thumbs-up"
"736","Dance With The Dead","Remixes","We Will Rock You (Dance with the Dead Remix)","3:40","7.0","5","thumbs-up"
"737","Chumped","Faux Real II","Threshold","2:22","43.0","5","thumbs-up"
"759","Robert Prince","Doom","At Doom's Gate","1:44","7.0","5","thumbs-up"
"760","Dance With The Dead","Remixes","Around the World (Dance with the Dead Remix)","4:12","11.0","5","thumbs-up"
"761","Dance With The Dead","Remixes","Paint It Black (Dance with the Dead Remix)","3:02","7.0","5","thumbs-up"
"762","Dance With The Dead","Remixes","Master of Puppets (Dance with the Dead Remix)","4:41","11.0","5","thumbs-up"
"773","Julie Ruin","Julie Ruin","Crochet","2:01","4.0","5","thumbs-up"
"789","GosT","Behemoth","Reign in Hell (Dance with the Dead remix)","3:42","6.0","5","thumbs-up"
"797","Steel Pulse","Tony Hawk's Underground 2 OST","Born Fe Rebel","4:42","12.0","5","thumbs-up"
"804","Youth Brigade","Sink With Kalifornija","Blown Away","2:47","3.0","5","thumbs-up"
"810","Living Colour","Stone Free: A Tribute to Jimi Hendrix","Crosstown Traffic","3:15","1.0","5","thumbs-up"
"834","Karen O","Jackass 3D OST","If You're Gonna Be Dumb, You Gotta Be Tough","3:30","9.0","5","thumbs-up"
"836","Roger Alan Wade","Jackass The Movie: Number Two OST","Sometimes I Don't Know If I'll Make It","2:46","6.0","5","thumbs-up"
"838","Karen O (feat. Peaches)","Jackass The Movie: Number Two OST","Backass","3:10","6.0","5","thumbs-up"
"842","Julien Baker","A.V. Club Undercover","Photobooth","4:21","21.0","5","thumbs-up"
"860","katie ellen","wild <3 demo","tv dreams","2:31","6.0","5","thumbs-up"
"861","katie ellen","wild <3 demo","wild <3","2:11","4.0","5","thumbs-up"
"862","Chumped","Not the One","Not the One","3:16","11.0","5","thumbs-up"
"873","The Upholsterers","The Legendary Lost Tapes","Pain (Give Me Sympathy)","1:42","8.0","5","thumbs-up"
"878","Chumped","AV Club Undercover 2015","He's A Rebel (The Crystals)","2:22","31.0","5","thumbs-up"
"879","San Fermin","AV Club Undercover 2015","Stuck In The Middle With You (Stealers Wheel)","3:10","12.0","5","thumbs-up"
"880","Local H","AV Club Undercover 2015","Shock The Monkey (Peter Gabriel)","3:38","8.0","5","thumbs-up"
"903","Julie Ruin","Julie Ruin","I Wanna Know What Love Is","3:36","4.0","5","thumbs-up"
"924","A.F.I.","The Art of Drowning","Battled","1:05","9.0","5","thumbs-up"
"937","Veruca Salt","Eight Arms to Hold You","Volcano Girls","3:19","13.0","5","thumbs-up"
"972","JAY Z","Watch The Throne (Explicit Version)","Who Gon Stop Me","4:16","17.0","5","thumbs-up"
"973","Jared Emerson-Johnson","The Wolf Among Us: Episode 1","Opening Credits","1:09","10.0","5","thumbs-up"
"974","Jared Emerson-Johnson","The Wolf Among Us: Episode 1","Main Menu","2:07","10.0","5","thumbs-up"
"975","Shinsuke Nakamura","NJPW","Subconscious","4:30","40.0","5","thumbs-up"
"1020","Jushin ""Thunder"" Liger","NJPW","Ikari No Jushin Liger","3:23","15.0","5","thumbs-up"
