artist|title|spotid
Descendents | I'm The One | 5XXiK8GZjjmCHpBpUEm9z5
Descendents | 'Merican | 2BY2O9OybmxpND0DqNgx97
Tame Impala | The Less I Know The Better | 6K4t31amVTZDgR3sKmwUJJ
King Diamond | The Invisible Guests | 4OZhfoYKPQzJOMTr7YngWK
King Diamond | Welcome Home | 1dxHeDGoVeEWQU5S2dG5PW
black midi | Reggae | 0QaGXd04FSKgGxk2iTuUtB
Torche | Slide | 77MpDvA36nKeYNEIYFhi40
Torche | Admission | 4fXOAHhgPrR7haSZWJZHsQ
Bleached | Shitty Ballet | 3kvkiCcZ6QG0eBiB4tRG3a
Bleached | Hard to Kill | 7bU1WWo32oscVeFfZBzbCu
Slowdive | Everyone Knows | 5gCMldzBtCPajx3JNLtVB6
Slowdive | Sugar for the Pill | 0GN3fXUdsTHeUg50xfDS0V
The Soft Cavalry | Dive | 5TvkWUGywzfVF5HQ9uySVF
Kate Bush | Wuthering Heights - 2018 Remaster | 4hRdaL1ZSGvPJNQezb0ejL
Death Cab for Cutie | I Will Follow You Into The Dark | 2ndWbjiiNBEOrlfToKlABE
Death Cab for Cutie | Title And Registration | 6LTQAaWl0Nrnt45ln6iKf3
Lizzo | Boys | 1ITsmuChPVC05ogvorAyVu
KISS | Crazy Crazy Nights | 3YSfGJNDtF8KrHlwCAaVns
Against Me! | Thrash Unreal | 3c3XnCPwxGhQEHFxxjQcWe
Peach Club | Not Ur Girl | 5nnxtxxGySrMWYdkiXViWF
Atari Teenage Riot | Rage - ATR Radio Edit | 4P6ByTNMRoPQlCGEGun3Iz
Atari Teenage Riot | Atari Teenage Riot | 4fju5ew9DWKwaMryEVpXMa
Bad Brains | Sailin' On | 4P8n1pWj2xQnaBjy1rvZ3o
Bad Brains | F.V.K. (Fearless Vampire Killers) | 2Jkk7UunDLmtxSeHTgar4Z
Bad Brains | I Against I | 2Q1eMd5WFmOOI90cytHAtT
Bad Brains | Banned in D.C. | 0YnP5BtP6lTwQV8gLOzaov
Bad Brains | Re-Ignition | 5flccuB88UqMqTO6XVXiv8
Linkin Park | Breaking the Habit | 6n8TMVyFKoUmDc4apxceRD
Velvet Revolver | Slither | 7kF1iPJTj3VFJX9XokQ80F
The Darkness | Growing on Me | 77asYwewm0lXvz76inosJm
Hatebreed | I Will Be Heard | 4Lxn1JlGJwmmXpODrNvPA6
Slipknot | Wait and Bleed | 2gscB6kDOmrv1P6qs2KXE3
Killswitch Engage | My Curse | 5fodi5z7BngUgku13WtF81
Wind Rose | Diggy Diggy Hole | 4cCTHaoV5YX5AHFC5qnlZ0
Knife Party | Internet Friends | 5qFL2uwfnGU8FccwLMgPNQ
Mobina Galore | Vancouver | 43dxkYD3e1fM5z2CF2tmyY
